"query_pattern","response_template","context_needed","tone"
"what.*iv","Bhai, IV market ka fever hai. High IV = risky, low IV = calm. Abhi IV {iv}% hai, thoda careful rehna. Do your own research!","iv","witty"
"explain.*gamma","Gamma tera loss speed badha deta hai, bhai. Jab price jaldi move kare, gamma high ho to risk bhi bhadta hai. Abhi gamma {gamma} hai. Soch samajh ke trade kar. Do your own research!","gamma","witty"
"what.*straddle","Bhai, straddle matlab ek call aur ek put kharidna, same strike pe. Market badi move kare to faida, nahi to loss. Abhi IV {iv}% hai, costly ho sakta hai. Do your own research!","iv","witty"
"why.*margin.*high","Bhai, margin high hai kyunki tu heavy position le raha hai! Abhi margin usage {margin}% hai. Thoda kam leverage kar, nahi to call aayega broker ka. Do your own research!","margin","serious"
"check.*straddle.*21000","Bhai, IV {iv}% pe hai, gamma {gamma} high lag raha hai. 21000 straddle mein loss 20%+ ka risk hai. Tighten kar ya exit soch. Do your own research!","iv,gamma","serious"
"is.*delta.*safe","Bhai, delta {delta} hai abhi. Neutral hai to thik, par zyada tilt ho to adjust kar le. Market ka mood dekho, IV {iv}% hai. Do your own research!","delta,iv","witty"
"should.*roll.*21200.*put","Bhai, 21200 put ka premium abhi accha hai, IV {iv}%. Roll kar le to faida ho sakta hai, par expiry close hai to jaldi decide kar. Do your own research!","iv","serious"
"gamma.*trap.*21000.*call","Haan bhai, 21000 call pe gamma {gamma} spike ho raha hai. 15%+ loss ka risk hai. Iron fly ya spread daal ke hedge kar le. Do your own research!","gamma","serious"
"should.*hedge","Bhai, IV {iv}% pe chadh gaya hai, market nervous hai. Hedge kar le, put spread ya iron condor try kar. Margin {margin}% hai, safe khel. Do your own research!","iv,margin","witty"
"adjust.*iron.*condor","Bhai, iron condor ka short leg abhi {delta} delta pe hai. IV {iv}% hai, thoda tight kar le ya spread shift kar. Expiry close hai, jaldi soch! Do your own research!","delta,iv","serious"
"vix.*spiking","VIX {vix}% pe chadh raha hai, bhai! Market mein darr hai. Straddle bechne ka soch ya positions tight kar. IV {iv}% hai, risky hai. Do your own research!","vix,iv","witty"
"margin.*call.*risk","Bhai, margin usage {margin}% hai, call ka risk hai agar market ulta gaya. Thoda position cut kar ya hedge daal le. Soch le, time kam hai! Do your own research!","margin","serious"
"market.*mood","Abhi market thoda {iv}% IV ke sath nervous lag raha hai, bhai. FII/DII data check kar, aur safe strategy khel. Do your own research!","iv","witty"
"suggest.*strategy","Bhai, IV {iv}% hai, market choppy hai. Iron condor ya spread try kar, low risk rahega. Apna risk profile dekh le. Do your own research!","iv","witty"
"why.*lost.*money","Bhai, loss ka reason IV spike ya gamma trap ho sakta hai. Abhi IV {iv}%, gamma {gamma} check kar. Journal mein likh, seekhna padega! Do your own research!","iv,gamma","serious"
